sentence1,sentence2,score
බැංකු ක්ෂේත්‍රය ඩිජිටල්කරණය වීම නිසා මුදල් ගනුදෙනු පහසු වී ඇත,ඉලෙක්ට්‍රොනික බැංකු ක්‍රමය නිසා මුදල් හුවමාරු කිරීම ඉතා වේගවත් වී ඇත,0.8
අන්තර්ජාලය හරහා තොරතුරු ඉක්මනින් ලබා ගත හැක,දේශීය සංචාරක ස්ථාන ප්‍රවර්ධනය කිරීමෙන් රටට ආදායම් මාර්ග උදා වේ,0.09
අහස්යානා නිපදවීමත් සමග ලොව වටා සංචාරය කිරීම වඩාත් සරල වී තිබේ,කය වෙහෙසා කරන සෙල්ලම් මගින් ශාරීරික සුවය මෙන්ම මානසික සතුටද ලැබේ,0.3
නවීන යන්ත්‍රෝපකරණ භාවිතයෙන් කෘෂිකාර්මික අස්වැන්න වැඩි කළ හැක,ප්‍රජාතන්ත්‍රවාදය යනු ජනතාවගේ පාලනය ජනතාව විසින්ම සිදු කිරීමයි,0.0
රටේ ආර්ථිකය දියුණු වීමෙන් මිනිසුන්ගේ ජීවන තත්ත්වය උසස් වේ,ස්වභාවධර්මයේ සමතුලිත බව පවත්වා ගැනීම අනාගත දරුවන් වෙනුවෙන් කරන වැඩකි,0.21
සිංහල බසින් පවතින ව්‍යාපෘතිවල සිංහල මුල් පිටුව වෙතද අනෙකුත් ව්‍යාපෘතිවල ඉංග්‍රීසි මුල් පිටුව වෙතද සබැඳි පහත දැක්වේ,කාලයට කෑම බීම ගැනීමෙන් රෝග වැළඳීම වැළැක්විය හැක,0.25
දුම්රිය සේවය පොදු ප්‍රවාහනයේ වැදගත් අංගයකි,මිනිසුන් ගමන් බිමන් සඳහා දුම්රිය භාවිත කිරීම ඉතා පහසු ක්‍රමයකි,0.5
නමුත් එය තුලනය කිරීමට කිසිදා නොහැකි වනු ඇත,සාගර දූෂණය නිසා මුහුදු ජීවීන් විනාශයට පත් වේ,0.08
ශ්‍රී ලංකාවේ පිහිටීම ප්‍රධාන මුහුදු මාර්ගවල පිහිටීම හේතුවෙන් බටහිර ආසියාව සහ අග්නිදිග ආසියාව අතර උපායමාර්ගික නාවික සම්බන්ධකයක් ලෙස එය පුරාණ කාලයේ සිටම භාවිතය ගැණුනි,ශ්‍රී ලංකාවේ පිහිටීම ප්‍රධාන මුහුදු මාර්ගවල පිහිටීම හේතුවෙන් බටහිර ආසියාව හා අග්නිදිග ආසියාව අතර උපායමාර්ගික නාවික සම්බන්ධකයක් විදිහට එය පුරාණ කාලයේ සිටම භාවිතය ගැණුනි,0.72
"එයඉන්දියානු සාගරයේ,බෙංගාල බොක්කෙහිනිරිත දෙසින් සහඅරාබි මුහුදේගිනිකොන දෙසින් පිහිටා ඇත; එයඉන්දියානු උප මහද්වීපයමන්නාරම් බොක්කසහපෝක් සමුද්‍ර සන්ධියමගින් වෙන් කරනු ලැබේ","එයඉන්දියානු සාගරයේ,බෙංගාල බොක්කෙහිනිරිත දෙසින් සහඅරාබි මුහුදේගිනිකොන දෙසින් පිහිටා ඇත; එයඉන්දියානු උප මහද්වීපයමන්නාරම් බොක්කසහපෝක් සමුද්‍ර සන්ධියමගින් වෙන් කරනු ලැබේ",1.0
පාසල් වාරය ලබන සතියේ අවසන් වේ,පාසල් වාරය ලබන සතියේ අවසන් වන්නේය,0.75
මෙම වචනය බෞද්ධ දර්ශනය තුලින් සිංහලයට පරිනාමය වූ වචනයකි,ජලය වියළීමෙන් පරිසරයට හානියක් සිදු විය හැක,0.16
සෞඛ්‍ය සම්පන්න දිවියකට ජලය පානය කිරීම වැදගත් වේ,සෞඛ්‍ය සම්පන්න දිවියකට ජලය පානය කිරීම වැදගත් වන්නේය,0.84
සාහිත්‍යය මගින් මිනිසාගේ චින්තනය සහ රසඥතාව වර්ධනය වේ,සාහිත්‍ය කෘති පරිශීලනයෙන් මිනිස් මනස සහ රසවින්දනය දියුණු වේ,0.7
නවීන උපකරණ භාවිතය නිසා මිනිස් ශ්‍රමය ඉතිරි කර ගැනීමට හැකි වී ඇත,එම ප්‍රත්‍යක්ෂයන්ගේ නිරවද්‍යම යැයි සැලකිය හැකි ප්‍රත්‍යක්ෂයන් විද්‍යාව ලෙස හැදින්වේ,0.17
ශ්‍රී ලංකාව ඉන්දියන් සාගරයේ පිහිටි දූපතකි,අධ්‍යාපනය රටක සංවර්ධනයට මූලික වේ,0.0
කලා ශිල්ප මගින් රටක සංස්කෘතික අනන්‍යතාවය ලොවට විදහා දක්වයි,කලා ශිල්ප මගින් රටක සංස්කෘතික අනන්‍යතාවය ලොවට විදහා දක්වයි,1.0
අහස්යානා නිපදවීමත් සමග ලොව වටා සංචාරය කිරීම වඩාත් සරල වී තිබේ,ශ්‍රී ලංකාව ඉන්දියන් සාගරයේ පිහිටි දූපතකි,0.16
සීගිරිය යනු ලොව පුරා ප්‍රසිද්ධ ඓතිහාසික ස්ථානයකි,නීතිය සමාජයේ සාමය සහ සාධාරණත්වය රැක ගනී,0.0
ජංගම දුරකථන භාවිතය නිසා සන්නිවේදනය ඉතා වේගවත් වී ඇත,ජංගම දුරකථන භාවිතය නිසා සන්නිවන්නේයදනය අතිශය වේගවත් වී පවතී,0.71
කෘෂිකර්මාන්තයට නවීන තාක්ෂණික මෙවලම් එක් කිරීමෙන් වැඩි අස්වැන්නක් ලබාගත හැකිය,කලා ක්ෂේත්‍රය සමාජ සංස්කෘතිය ප්‍රචාරයට උපකාරී වේ,0.17
වෛද්‍ය පර්යේෂණ මගින් මාරාන්තික රෝග සඳහා නව ඖෂධ සොයා ගනී,වෛද්‍ය පර්යේෂණ මගින් මාරාන්තික රෝග සඳහා නව ඖෂධ සොයා ගනී,1.0
නමුත් එය තුලනය කිරීමට කිසිදා නොහැකි වනු ඇත,ක්ෂේත්‍ර රාශියක ප්‍රගතිය සඳහා දැනුම සහ අධ්‍යාපනය පදනම සපයයි,0.06
කෘෂිකර්මාන්තයට නවීන තාක්ෂණික මෙවලම් එක් කිරීමෙන් වැඩි අස්වැන්නක් ලබාගත හැකිය,කෘෂිකර්මාන්තයට නවීන තාක්ෂණික මෙවලම් එක් කිරීමෙන් වැඩි අස්වැන්නක් ලබාගත හැකිය,1.0
සාමය සහ සංහිඳියාව රටක දියුණුවට අත්‍යවශ්‍ය සාධක වේ,බෞද්ධ දර්ශනයට අනුව මෙහි විද්‍යාව ලෙස අදහස් කරනුයේ නවීන බටහිර  විද්‍යාව නොව ලෝකෝත්තර  චතුරාර්ය සත්‍යය පිලිබඳ දැනීම නම්වූ විද්‍යාවයි,0.25
වන සතුන් ආරක්ෂා කිරීම ජෛව විවිධත්වය රැක ගැනීමට අත්‍යවශ්‍ය වේ,සතුන් සුරැකීමෙන් ස්වභාවධර්මයේ සමතුලිතතාවය ආරක්ෂා කර ගත හැක,0.6
මානව හිමිකම් සුරැකීම ශිෂ්ට සම්පන්න සමාජයක ලක්ෂණයකි,මුහුදට අපද්‍රව්‍ය බැහැර කිරීම නිසා සාගර සතුන්ගේ ජීවිත අනතුරේ වැටේ,0.0
අධ්‍යාපනය රටක සංවර්ධනයට මූලික වේ,ක්ෂේත්‍ර රාශියක ප්‍රගතිය සඳහා දැනුම සහ අධ්‍යාපනය පදනම සපයයි,0.6
තාක්ෂණික දියුණුව වැඩිවීම නිසා වැඩ කාර්යක්ෂමතාව ඉහළ යයි,දුම්රිය සේවය පොදු ප්‍රවාහනයේ වැදගත් අංගයකි,0.07
තොරතුරු හුවමාරුව සඳහා නවීන තාක්ෂණය බෙහෙවින් උපකාරී වේ,තොරතුරු හුවමාරුව සඳහා නවීන තාක්ෂණය බෙහෙවින් උපකාරී වෙයි,0.77
මානව හිමිකම් සුරැකීම ශිෂ්ට සම්පන්න සමාජයක ලක්ෂණයකි,මානව හිමිකම් සුරැකීම ශිෂ්ට සම්පන්න සමාජයක ලක්ෂණයකි,1.0
ඛනිජ තෙල් භාවිතය සීමා කිරීම පරිසර දූෂණය අවම කිරීමට හේතු වේ,සමාජ මාධ්‍ය භාවිතය පුද්ගල සබඳතා කෙරෙහි බලපෑම් ඇති කරයි,0.0
සාගර දූෂණය නිසා මුහුදු ජීවීන් විනාශයට පත් වේ,මුහුදු ජලයට වස විස එකතු වීමෙන් සාගර පරිසර පද්ධතියට විශාල තර්ජනයක් වේ,0.7
අතීතයෙන් උරුම වූ නැටුම් කලාව අපේ රටේ වැදගත් සංස්කෘතික සම්පතකි,අතීතයෙන් උරුම වූ නැටුම් කලාව අපේ රටේ වැදගත් සංස්කෘතික සම්පතකි,1.0
ගොවිතැන අපේ රටේ ප්‍රධාන ජීවනෝපාය මාර්ගයයි,ගොවිතැන අපේ රටේ ප්‍රධාන ජීවනෝපාය මාර්ගයයි,1.0
කෘතිම බුද්ධිය අනාගත ලෝකයේ ප්‍රධාන තාක්ෂණයකි,AI තාක්ෂණය අනාගතයේ වැදගත් භූමිකාවක් ඉටු කරනු ඇත,0.7
නමුත් එය තුලනය කිරීමට කිසිදා නොහැකි වනු ඇත,හිරු එළියෙන් විදුලිය නිපදවීම පරිසර හිතකාමී ක්‍රමයකි,0.13
එම ඉන්ද්‍රීන් මගින් ග්‍රහනය කරගන්නා ලෝකය මොළය මගින් ප්‍රත්‍යක්ෂ කර ගනී,එම ඉන්ද්‍රීන් හරහා ග්‍රහනය කරගන්නා ලෝකය මොළය මගින් ප්‍රත්‍යක්ෂ කර ගනී,0.71
නිසි වේලාවට ආහාර ගැනීම ලෙඩ රෝගවලින් ආරක්ෂා වීමට මගකි,නිසි වේලාවට ආහාර ගැනීම ලෙඩ රෝගවලින් ආරක්ෂා වීමට මගකි,1.0
සාමය සහ සංහිඳියාව රටක දියුණුවට අත්‍යවශ්‍ය සාධක වේ,රටක් ප්‍රගතිය කරා ගමන් කිරීමට නම් සමාජය තුළ සමගිය තිබිය යුතුය,0.8
පාරිසරික සමතුලිතතාවය රැක ගැනීම මතු පරපුර වෙනුවෙන් කරන ආයෝජනයකි,විවිධ ග්‍රන්ථ කියවීමෙන් පුද්ගලයාගේ බුද්ධි මට්ටම වර්ධනය කර ගත හැක,0.03
දළ දේශීය නිෂ්පාදිතය ඉහළ යාමෙන් සාමාන්‍ය ජනයාගේ සැප සම්පත් වැඩි වේ,අනුරාධපුරය පැරණි රජදහනක් ලෙස හැඳින්වේ,0.23
මහනුවර නගරය කඳුකර ප්‍රදේශයේ පිහිටා ඇත,නුවර නගරය ශ්‍රී ලංකාවේ මධ්‍යම කඳුකරයේ පිහිටා ඇත,0.6
කෘෂිකාර්මික කටයුතු ලාංකිකයන්ගේ ප්‍රමුඛතම ආර්ථික මාර්ගයයි,ආර්ථික වර්ධනය ජන ජීවන මට්ටම ඉහළ නැංවීමට උපකාරී වේ,0.04
අධ්‍යාපනය රටක සංවර්ධනයට මූලික වේ,රටක දියුණුව සඳහා අධ්‍යාපනය අත්‍යවශ්‍ය වේ,0.8
ජලය වියළීමෙන් පරිසරයට හානියක් සිදු විය හැක,ජලය වියළීමෙන් පරිසරයට හානියක් සිදු විය හැක,1.0
ජල සම්පත් සුරැකීම පරිසරය රැක ගැනීමට වැදගත් වේ,ජලය වියළීමෙන් පරිසරයට හානියක් සිදු විය හැක,0.6
සාමය සහ සංහිඳියාව රටක දියුණුවට අත්‍යවශ්‍ය සාධක වේ,සෞඛ්‍යය රැකගැනීමට ප්‍රමාණවත් ජලය පානය කළ යුතුය,0.19
නිරෝගී දිවියකට පෝෂ්‍යදායී ආහාර වේලක් අත්‍යවශ්‍ය වේ,කලා ශිල්ප මගින් රටක සංස්කෘතික අනන්‍යතාවය ලොවට විදහා දක්වයි,0.0
ආර්ථික වර්ධනය ජන ජීවන මට්ටම ඉහළ නැංවීමට උපකාරී වේ,දළ දේශීය නිෂ්පාදිතය ඉහළ යාමෙන් සාමාන්‍ය ජනයාගේ සැප සම්පත් වැඩි වේ,0.5
ඡන්දය ප්‍රකාශ කිරීම පුරවැසියෙකු සතු මූලික අයිතිවාසිකමකි,තම කැමැත්ත ප්‍රකාශ කිරීමට ඡන්දය පාවිච්චි කිරීම පුරවැසිකම හා බැඳුණු අයිතියකි,0.8
සාහිත්‍යය මගින් මිනිසාගේ චින්තනය සහ රසඥතාව වර්ධනය වේ,අධ්‍යාපනය රටක සංවර්ධනයට මූලික වේ,0.0
විදුලි බලය ජන ජීවිතයේ අත්‍යවශ්‍ය කොටසක් වී ඇත,විදුලිය නොමැතිව අද දිනයේ ජීවිතය කල්පනා කළ නොහැක,0.8
පරීක්ෂණයකින් උසස් ලෙස සමත් වීමට නම් කල්තියා පාඩම් කිරීම අත්‍යවශ්‍ය වේ,පරීක්ෂණයකින් උසස් විදිහට සමත් වීමට නම් කල්තියා පාඩම් කිරීම අත්‍යවශ්‍ය වේ,0.74
ක්‍රීඩාව නිරෝගී දිවියකට මෙන්ම මානසික සහනයටද වැදගත් වේ,කය වෙහෙසා ක්‍රීඩා කිරීම ශාරීරික සෞඛ්‍යයට මෙන්ම මනසටද හිතකර වේ,0.8
දේශීය කර්මාන්ත නගා සිටුවීමෙන් රටේ නිෂ්පාදන ධාරිතාව ඉහළ යයි,"මී 65,610 (වර්ග සැතපුම් 25,330) වේ",0.28
පරිසරය සුරැකීම අප සැමගේ වගකීමකි,පරිසරය සුරැකීම අප සැමගේ වගකීමකි,1.0
පාසල් වාරය ලබන සතියේ අවසන් වේ,එළඹෙන සතියේදී පාසල් වාරය නිමාවට පත්වනු ඇත,0.8
කැළි කසළ කළමනාකරණය නගර අලංකාරයට සහ සෞඛ්‍යයට වැදගත් වේ,ශ්‍රී ලංකාවේ ඉතිහාසය දිගු කාලයකට පැතිරී ඇත,0.01
පරිසර උෂ්ණත්වය ඉහළ යාම නිසා ධ්‍රැවීය ප්‍රදේශවල අයිස් තට්ටු දියවී යයි,රටක් ප්‍රගතිය කරා ගමන් කිරීමට නම් සමාජය තුළ සමගිය තිබිය යුතුය,0.2
කලා ශිල්ප මගින් රටක සංස්කෘතික අනන්‍යතාවය ලොවට විදහා දක්වයි,වනෝද්‍යාන නැරඹීම සඳහා විදේශිකයන් විශාල වශයෙන් මෙරටට පැමිණේ,0.0
ඡන්දය ප්‍රකාශ කිරීම පුරවැසියෙකු සතු මූලික අයිතිවාසිකමකි,ජල සම්පත් සුරැකීම පරිසරය රැක ගැනීමට වැදගත් වේ,0.23
අන්තර්ජාලය හරහා තොරතුරු ඉක්මනින් ලබා ගත හැක,ඉන්දියානු ජනරජයසහ ශ්‍රී ලංකා ජනරජය 1976 මාර්තු 23 වන දිනමනාර් බොක්කසහ බෙංගාල බොක්කෙහිසමුද්‍ර මායිම්ස්ථාපිත කරමින් ගිවිසුමක් අත්සන් කරන ලදී,0.14
සාමය සහ සංහිඳියාව රටක දියුණුවට අත්‍යවශ්‍ය සාධක වේ,කැළි කසළ කළමනාකරණය නගර අලංකාරයට සහ සෞඛ්‍යයට වැදගත් වේ,0.2
නවීන උපකරණ භාවිතය නිසා මිනිස් ශ්‍රමය ඉතිරි කර ගැනීමට හැකි වී ඇත,නවීන උපකරණ භාවිතය හේතුවෙන් මිනිස් ශ්‍රමය ඉතිරි කර ගැනීමට හැකි වී ඇත,0.9
රටක් දියුණු වීමට නම් මිනිසුන් අතර එකමුතුකම සහ සාමය තිබිය යුතුය,ශ්‍රී ලංකාවට ආසන්න ම රටවල්ලෙස ඉන්දියාව සහමාලදිවයිනහැදින්විය හැකි ය,0.11
සතුන් සුරැකීමෙන් ස්වභාවධර්මයේ සමතුලිතතාවය ආරක්ෂා කර ගත හැක,සතුන් සුරැකීමෙන් ස්වභාවධර්මයේ සමතුලිතතාවය ආරක්ෂා කර ගත හැක,1.0
දළ දේශීය නිෂ්පාදිතය ඉහළ යාමෙන් සාමාන්‍ය ජනයාගේ සැප සම්පත් වැඩි වේ,පරිගණක මෘදුකාංග මගින් සංකීර්ණ ගැටළු පහසුවෙන් විසඳිය හැක,0.12
අහස අද ඉතා පැහැදිලිය,අහස අද අතිශය පැහැදිලිය,0.79
එය මිනිසා විසින් අවසානයක් දක්වා තුලනය කිරීමට උත්සහ දරයි,විවිධ ග්‍රන්ථ කියවීමෙන් පුද්ගලයාගේ බුද්ධි මට්ටම වර්ධනය කර ගත හැක,0.15
විශ්වයේ රහස් සොයා ගැනීම සඳහා සිදුකරන ගවේෂණ මගින් අලුත් දත්ත රාශියක් ලැබේ,හිරු එළියෙන් විදුලිය නිපදවීම පරිසර හිතකාමී ක්‍රමයකි,0.24
ක්ෂේත්‍ර රාශියක ප්‍රගතිය සඳහා දැනුම සහ අධ්‍යාපනය පදනම සපයයි,ක්ෂේත්‍ර රාශියක ප්‍රගතිය සඳහා දැනුම හා අධ්‍යාපනය පදනම සපයයි,0.78
නිරෝගී දිවියකට පෝෂ්‍යදායී ආහාර වේලක් අත්‍යවශ්‍ය වේ,නිරෝගී දිවියකට පෝෂ්‍යදායී ආහාර වේලක් අත්‍යවශ්‍ය වේ,1.0
අධ්‍යාපන ක්ෂේත්‍රයේ දියුණුව රටේ ප්‍රගතියට බලපායි,අධ්‍යාපන ක්ෂේත්‍රයේ දියුණුව රටේ ප්‍රගතියට බලපායි,1.0
ජංගම දුරකථන භාවිතය නිසා සන්නිවේදනය ඉතා වේගවත් වී ඇත,ආර්ථික වර්ධනය ජන ජීවන මට්ටම ඉහළ නැංවීමට උපකාරී වේ,0.0
පරිසරය සුරැකීම අප සැමගේ වගකීමකි,තොරතුරු හුවමාරුව සඳහා නවීන තාක්ෂණය බෙහෙවින් උපකාරී වේ,0.13
වන සතුන් ආරක්ෂා කිරීම ජෛව විවිධත්වය රැක ගැනීමට අත්‍යවශ්‍ය වේ,"නමුත් උපතේ සිට ඹහු ඇස, කණ, දිව, නාසය, සම යන ඉන්ද්‍රීන් මගින් භාහිර ලෝකය ග්‍රහණය කරගනී",0.26
අභ්‍යවකාශ ගවේෂණය මගින් විශ්වය පිළිබඳ නව තොරතුරු හෙළි වේ,ශ්‍රී ලංකාව ඉන්දියන් සාගරයේ පිහිටි දූපතකි,0.0
විභාගය සඳහා හොඳින් සූදානම් වීම ජයග්‍රහණයට මගකි,පරීක්ෂණයකින් උසස් ලෙස සමත් වීමට නම් කල්තියා පාඩම් කිරීම අත්‍යවශ්‍ය වේ,0.8
හිරු එළියෙන් විදුලිය නිපදවීම පරිසර හිතකාමී ක්‍රමයකි,ලෝකයේ පවතින දැවැන්තම ක්‍රීඩා තරඟාවලිය ඔලිම්පික් උළෙලයි,0.18
මහජනතාව විසින් පාලනය මෙහෙයවනු ලබන ක්‍රමය ප්‍රජාතන්ත්‍රවාදී පාලනයයි,පුනර්ජනනීය බලශක්තිය භාවිතය මගින් විදුලි අර්බුදයට විසඳුම් සෙවිය හැක,0.27
වන සතුන් ආරක්ෂා කිරීම ජෛව විවිධත්වය රැක ගැනීමට අත්‍යවශ්‍ය වේ,ලංකාවේ ඉතිහාසය වසර දහස් ගණනක් ඈතට දිව යයි,0.0
අනුරාධපුරය පැරණි රජදහනක් ලෙස හැඳින්වේ,පාසල් වාරය ලබන සතියේ අවසන් වේ,0.18
අනුරාධපුරය පැරණි රජදහනක් ලෙස හැඳින්වේ,ප්‍රජාතන්ත්‍රවාදය යනු ජනතාවගේ පාලනය ජනතාව විසින්ම සිදු කිරීමයි,0.0
කෘෂිකර්මාන්තය ශ්‍රී ලාංකිකයන්ගේ ප්‍රධානම ආදායම් මාර්ගය ලෙස සැලකේ,චිත්‍ර කලාව සහ සංගීතය මගින් සමාජයේ සංස්කෘතික වටිනාකම් ප්‍රචාරය කරයි,0.26
ආර්ථික වර්ධනය ජන ජීවන මට්ටම ඉහළ නැංවීමට උපකාරී වේ,ප්ලාස්ටික් භාවිතය අවම කිරීමෙන් පරිසර හානිය වළක්වා ගත හැක,0.29
රටක දියුණුව සඳහා ඉගෙනුම් ක්‍රියාවලිය අත්‍යවශ්‍ය සාධකයකි,රටක දියුණුව සඳහා ඉගෙනුම් ක්‍රියාවලිය අත්‍යවශ්‍ය සාධකයකි,1.0
ගුවන් යානා තාක්ෂණය ලෝකය පුරා ගමනාගමනය පහසු කර ඇත,මෙම වචනය බෞද්ධ දර්ශනය තුලින් සිංහලයට පරිනාමය වූ වචනයකි,0.26
නමුත් එය තුලනය කිරීමට කිසිදා නොහැකි වනු ඇත,රට තුළ පවතින කර්මාන්ත දියුණු කිරීමෙන් නිෂ්පාදන ප්‍රමාණය වැඩි කර ගත හැකිය,0.19
නුවර නගරය ශ්‍රී ලංකාවේ මධ්‍යම කඳුකරයේ පිහිටා ඇත,වර්තමාන ලෝකයේ බොහෝ වැඩ කටයුතු සඳහා පරිගණක තාක්ෂණය අත්‍යවශ්‍ය වී තිබේ,0.01
පෞරාණික ස්ථාන විනාශ කිරීම නීතියෙන් දඬුවම් ලැබිය හැකි වරදකි,ප්‍රජාතන්ත්‍රවාදය යනු ජනතාවගේ පාලනය ජනතාව විසින්ම සිදු කිරීමයි,0.0
සීගිරිය යනු ලොව පුරා ප්‍රසිද්ධ ඓතිහාසික කලාගාරයකි,කාශ්‍යප රජු විසින් කරවන ලද සීගිරිය ලෝක පූජිත කලාත්මක නිර්මාණයකි,0.6
ප්ලාස්ටික් භාවිතය අවම කිරීමෙන් පරිසර හානිය වළක්වා ගත හැක,සූර්ය බලශක්තිය භාවිත කිරීමෙන් සොබාදහමට හානියක් නොවන සේ බලශක්තිය නිපදවිය හැක,0.29
අනුරාධපුරය පැරණි රජදහනක් ලෙස හැඳින්වේ,අනුරාධපුරය ශ්‍රී ලංකාවේ පුරාණ අගනුවරක් විය,0.8
බෞද්ධ දර්ශනයට අනුව මෙහි විද්‍යාව ලෙස අදහස් කරනුයේ නවීන බටහිර  විද්‍යාව නොව ලෝකෝත්තර  චතුරාර්ය සත්‍යය පිලිබඳ දැනීම නම්වූ විද්‍යාවයි,බෞද්ධ දර්ශනයට අනුව මෙහි විද්‍යාව විදිහට අදහස් කරනුයේ නවීන බටහිර  විද්‍යාව නොව ලෝකෝත්තර  චතුරාර්ය සත්‍යය පිලිබඳ දැනීම නම්වූ විද්‍යාවයි,0.84
අධ්‍යාපනය රටක සංවර්ධනයට මූලික වේ,රටේ සංස්කෘතික දායාද රැක ගැනීම සියලු දෙනාගේම යුතුකමකි,0.14
සිංහල බසින් පවතින ව්‍යාපෘතිවල සිංහල මුල් පිටුව වෙතද අනෙකුත් ව්‍යාපෘතිවල ඉංග්‍රීසි මුල් පිටුව වෙතද සබැඳි පහත දැක්වේ,සිංහල බසින් පවතින ව්‍යාපෘතිවල සිංහල මුල් පිටුව වෙතද අනෙකුත් ව්‍යාපෘතිවල ඉංග්‍රීසි මුල් පිටුව වෙතද සබැඳි පහත දැක්වේ,1.0
බැංකු ක්ෂේත්‍රය ඩිජිටල්කරණය වීම නිසා මුදල් ගනුදෙනු පහසු වී ඇත,සෞඛ්‍ය සම්පන්න දිවියකට ජලය පානය කිරීම වැදගත් වේ,0.0
නිරෝගී දිවියකට පෝෂ්‍යදායී ආහාර වේලක් අත්‍යවශ්‍ය වේ,සාගර දූෂණය නිසා මුහුදු ජීවීන් විනාශයට පත් වේ,0.0
පොත් කියවීම දැනුම ලබා ගැනීමට ඇති හොඳම මාර්ගයයි,සොෆ්ට්වෙයාර් යොදාගෙන අසීරු ගණනය කිරීම් ඉතා පහසුවෙන් නිම කළ හැක,0.2
නිරෝගීව සිටීම සඳහා ශරීරයට අවශ්‍ය ප්‍රමාණයට දියර වර්ග ලබාගත යුතුය,නිරෝගීව සිටීම සඳහා ශරීරයට අවශ්‍ය ප්‍රමාණයට දියර වර්ග ලබාගත යුතුය,1.0
එය ලොව 123 වැනි විශාලතම රට වන අතරවිශාලතම දූපත්අතරින් 25 වන ස්ථානයෙ සිටියි,ලංකාවේ ඉතිහාසය වසර දහස් ගණනක් ඈතට දිව යයි,0.01
පැරණි බිතුසිතුවම් මගින් අතීත සමාජයේ තොරතුරු හෙළි වේ,සමාජ මාධ්‍ය භාවිතය පුද්ගල සබඳතා කෙරෙහි බලපෑම් ඇති කරයි,0.0
මිනිස් අයිතිවාසිකම්වලට ගරු කිරීම උසස් සමාජයක මූලික ගුණයකි,නවීන තාක්ෂණය භාවිතයෙන් කාර්යයන් වඩාත් වේගවත්ව සිදු කළ හැක,0.08
ශ්‍රී ලංකාව ඉන්දියන් සාගරයේ පිහිටි දූපතකි,කොටස් වෙළඳපොල උච්චාවචනය වීම රටක ආර්ථිකයට සෘජුව බලපායි,0.0
වනෝද්‍යාන නැරඹීම සඳහා විදේශිකයන් විශාල වශයෙන් මෙරටට පැමිණේ,පාරිසරික සමතුලිතතාවය රැක ගැනීම මතු පරපුර වෙනුවෙන් කරන ආයෝජනයකි,0.26
විදුලිය ඉතිරි කිරීම මගින් පුද්ගලික වියදම් මෙන්ම ජාතික සම්පත්ද සුරැකේ,ගොවිතැන අපේ රටේ ප්‍රධාන ජීවනෝපාය මාර්ගයයි,0.15
නවීන යන්ත්‍රෝපකරණ භාවිතයෙන් කෘෂිකාර්මික අස්වැන්න වැඩි කළ හැක,"විවිධ නම් ගණනාවකින් පුරාණයේ හැඳින්වූ මෙම දූපත""නම් දහසක් ඇති දූපත""ලෙස ප්‍රචලිත ද විය",0.0
ගස් වැල් කැපීම නිසා පෘථිවිය උණුසුම් වේ,වෛද්‍ය පර්යේෂණ මගින් මාරාන්තික රෝග සඳහා නව ඖෂධ සොයා ගනී,0.0
පෘථිවිය සූර්යයා වටා ගමන් කරන ග්‍රහලෝකයකි,අන්තර්ජාලය හරහා තොරතුරු ඉක්මනින් ලබා ගත හැක,0.1
අභ්‍යවකාශ ගවේෂණය මගින් විශ්වය පිළිබඳ නව තොරතුරු හෙළි වේ,ශ්‍රී ලංකාව ඉන්දියන් සාගරයේ පිහිටි දූපතකි,0.0
අධ්‍යාපන ක්ෂේත්‍රයේ දියුණුව රටේ ප්‍රගතියට බලපායි,අධ්‍යාපන ක්ෂේත්‍රයේ දියුණුව රාජ්‍යයේ ප්‍රගතියට බලපායි,0.79
ඡන්දය ප්‍රකාශ කිරීම පුරවැසියෙකු සතු මූලික අයිතිවාසිකමකි,දේශීය කර්මාන්ත නගා සිටුවීමෙන් රටේ නිෂ්පාදන ධාරිතාව ඉහළ යයි,0.0
පුරාවිද්‍යාත්මක වටිනාකමක් ඇති බිම්වලට හානි කිරීම සිරදඬුවම් විඳිය හැකි අපරාධයකි,කලා ශිල්ප මගින් ජාතියක අනන්‍යතාවය ලොවට විදහා දක්වයි,0.1
රටක් ප්‍රගතිය කරා ගමන් කිරීමට නම් සමාජය තුළ සමගිය තිබිය යුතුය,කාලගුණික විපර්යාස නිසා ලෝකයේ අයිස් කඳු දිය වෙමින් පවතී,0.15
ගස් වැල් කැපීම නිසා පෘථිවිය උණුසුම් වේ,වන විනාශය හේතුවෙන් ගෝලීය උෂ්ණත්වය ඉහළ යාමේ තර්ජනයක් මතුව ඇත,0.7
මුහුදට අපද්‍රව්‍ය බැහැර කිරීම නිසා සාගර සතුන්ගේ ජීවිත අනතුරේ වැටේ,ශ්‍රී ලංකාවේ ඉතිහාසය දිගු කාලයකට පැතිරී ඇත,0.02
පාසල් වාරය ලබන සතියේ අවසන් වේ,වන විනාශය හේතුවෙන් ගෝලීය උෂ්ණත්වය ඉහළ යයි,0.29
කය වෙහෙසා ක්‍රීඩා කිරීම ශාරීරික සෞඛ්‍යයට මෙන්ම මනසටද හිතකර වේ,කය වෙහෙසා ක්‍රීඩා කිරීම ශාරීරික සෞඛ්‍යයට මෙන්ම මනසටද හිතකර වේ,1.0
නුවර නගරය ශ්‍රී ලංකාවේ මධ්‍යම කඳුකරයේ පිහිටා ඇත,නුවර නගරය ශ්‍රී ලංකාවේ මධ්‍යම කඳුකරයේ පිහිටා ඇත,1.0
